GameIndex,PlayerName,MaxNumber,Answer,Guesses,StartOfPlay,EndOfPlay
0,Max,10,3,7,2017-10-29 12:52:15.597213,2017-10-29 12:52:15.597213
2,Warren,10,2,3,2017-10-29 14:49:37.953311,2017-10-29 14:49:37.953311
3,Sayder,10,6,4,2017-10-29 14:51:36.958692,2017-10-29 14:51:36.958692
4,mia,10,9,2,2017-10-29 15:04:55.375767,2017-10-29 15:04:55.375767
5,Marcus,10,4,4,2017-10-29 15:06:59.119141,2017-10-29 15:06:59.119141
6,Marcus,10,2,2,2017-10-29 15:07:57.811040,2017-10-29 15:07:57.811040
7,Marcus,10,8,2,2017-10-29 15:08:32.205665,2017-10-29 15:08:32.205665
8,Marcus,10,6,2,2017-10-29 15:09:01.716328,2017-10-29 15:09:01.716328
9,Marcus,10,6,4,2017-10-29 15:09:33.697976,2017-10-29 15:09:33.697976
10,,10,9,1,2017-10-29 15:10:08.721791,2017-10-29 15:10:08.721791
11,Marcus,10,9,2,2017-10-29 15:10:50.241711,2017-10-29 15:10:50.241711
12,Marcus,10,2,2,2017-10-29 15:11:13.222416,2017-10-29 15:11:13.222416
13,Marcus,10,7,3,2017-10-29 15:11:45.140359,2017-10-29 15:11:45.140359
14,Marcus,10,9,3,2017-10-29 15:12:20.468699,2017-10-29 15:12:20.468699
15,Marcus,10,6,3,2017-10-29 15:12:53.131244,2017-10-29 15:12:53.131244
16,Marcus,10,2,3,2017-10-29 15:13:28.852765,2017-10-29 15:13:28.852765
17,Marcus,10,6,4,2017-10-29 15:14:10.625104,2017-10-29 15:14:10.625104
18,Marcus,10,9,2,2017-10-29 15:14:55.698491,2017-10-29 15:14:55.698491
19,Marcus,10,7,4,2017-10-29 15:15:37.999702,2017-10-29 15:15:37.999702
20,Marcus,10,5,2,2017-10-29 15:16:22.674470,2017-10-29 15:16:22.674470
21,Marcus,10,1,6,2017-10-29 15:16:45.320930,2017-10-29 15:16:45.320930
22,Marcus,10,6,4,2017-10-29 15:18:07.440185,2017-10-29 15:18:07.440185
23,Marcus,10,5,3,2017-10-29 15:18:42.564977,2017-10-29 15:18:42.564977
24,Marcus,10,4,3,2017-10-29 15:19:13.761739,2017-10-29 15:19:13.761739
25,Marcus,10,6,2,2017-10-29 15:19:48.846726,2017-10-29 15:19:48.846726
26,Marcus,10,5,3,2017-10-29 15:20:14.030891,2017-10-29 15:20:14.030891
27,Marcus,10,4,3,2017-10-29 15:20:53.921621,2017-10-29 15:20:53.921621
28,Marcus,10,1,6,2017-10-29 15:21:22.248634,2017-10-29 15:21:22.248634
29,Marcus,10,4,3,2017-10-29 15:22:06.602803,2017-10-29 15:22:06.602803
30,Marcus,10,2,3,2017-10-29 15:22:37.017661,2017-10-29 15:22:37.017661
31,Marcus,10,7,1,2017-10-29 15:23:15.263242,2017-10-29 15:23:15.263242
32,mia,10,10,4,2017-10-29 15:23:38.289412,2017-10-29 15:23:38.289412
33,mia,10,9,4,2017-10-29 15:24:20.589336,2017-10-29 15:24:20.589336
34,mia,10,10,2,2017-10-29 15:25:07.327636,2017-10-29 15:25:07.327636
35,mia,10,3,7,2017-10-29 15:25:44.846473,2017-10-29 15:25:44.846473
36,mia,10,2,5,2017-10-29 15:26:46.005516,2017-10-29 15:26:46.005516
37,mia,10,1,3,2017-10-29 15:27:32.343603,2017-10-29 15:27:32.343603
38,4,10,7,11,2017-10-29 15:28:27.295612,2017-10-29 15:28:27.295612
39,mia,10,6,4,2017-10-29 15:29:46.743443,2017-10-29 15:29:46.743443
40,miabobbio,10,1,2,2017-10-29 15:30:35.991604,2017-10-29 15:30:35.991604
41,miabellbio,10,1,1,2017-10-29 15:31:18.051983,2017-10-29 15:31:18.051983
42,Warren,4,4,2,2017-10-29 17:28:30.489223,2017-10-29 17:28:30.489223
43,Ham Sandwich,3,3,2,2017-10-29 17:29:30.145422,2017-10-29 17:29:30.145422
44,Samantha,3,2,1,2017-10-29 17:31:51.677507,2017-10-29 17:31:51.677507
45,Jonathan,2,1,2,2017-10-29 17:34:49.220371,2017-10-29 17:34:49.220371
46,Sayder,1,1,1,2017-10-29 17:38:04.369157,2017-10-29 17:38:04.369157
47,mia,1,1,1,2017-10-29 17:42:14.226444,2017-10-29 17:42:14.226444
48,mia,1000000000,662300852,44,2017-10-29 17:43:08.065193,2017-10-29 17:43:08.065193
49,Josie the winner,10,8,2,2017-10-29 17:59:32.846629,2017-10-29 17:59:32.846629
50,I win Josie,1,1,1,2017-10-29 18:01:17.148709,2017-10-29 18:01:17.148709
51,I hope I get this,1000000000,889921349,47,2017-10-29 18:04:12.346667,2017-10-29 18:04:12.346667
52,Boo Boo,3,3,1,2017-10-29 20:07:38.913291,2017-10-29 20:07:38.913291
53,Sayder,3,3,1,2017-10-29 20:09:39.859529,2017-10-29 20:09:39.859529
54,Sayder,99,63,6,2017-10-29 20:10:02.544947,2017-10-29 20:10:02.544947
55,Josie Gravitt,10,10,4,2017-10-29 20:12:08.204404,2017-10-29 20:12:08.204404
56,I hope I win,10,1,3,2017-10-29 20:13:28.746096,2017-10-29 20:13:28.746096
57,Boo Boo,6,5,3,2017-10-29 20:18:30.863133,2017-10-29 20:18:30.863133
58,Boo Boo,10,4,1,2017-10-29 20:18:52.056738,2017-10-29 20:18:52.056738
59,Boo Boo,10,4,2,2017-10-29 20:19:14.062369,2017-10-29 20:19:14.062369
60,josie,10,7,2,2017-10-29 20:19:46.943161,2017-10-29 20:19:46.943161
61,MIA,10,1,3,2017-10-29 20:20:47.493595,2017-10-29 20:20:47.493595
62,mia,10,5,1,2017-10-29 20:21:45.845464,2017-10-29 20:21:45.845464
63,joe,4,4,3,2017-10-29 20:40:40.914948,2017-10-29 20:40:40.914948
64,Samson,4,1,2,2017-10-29 20:42:18.761734,2017-10-29 20:42:18.761734
65,Ho,3,2,1,2017-10-29 20:46:44.021591,2017-10-29 20:46:44.021591
66,Boo Boo Good Night,5,3,2,2017-10-29 20:47:17.358454,2017-10-29 20:47:17.358454
67,no,3,3,2,2017-11-03 10:27:13.475873,2017-11-03 10:27:21.839277
68,marcus,5,5,2,2017-11-03 10:28:04.488381,2017-11-03 10:28:12.887994
69,max,4,2,2,2017-11-03 15:16:58.166374,2017-11-03 15:17:18.773886
